ID,NAME,COSMOS,ARMADURA,LEVEL,POWER_LV
1,Mu,Aries,Oro,100,9999.000000
2,Aldebaran,Tauro,Oro,100,3482.000000
3,Saga,Geminis,Oro,100,4355.000000
4,Deathmask,Cancer,Oro,100,2934.000000
5,Aioria,Leo,Oro,100,4737.000000
6,Shaka,Virgo,Oro,100,3834.000000
7,Dohko,Libra,Oro,100,9974.000000
8,Milo,Escorpio,Oro,100,3125.000000
9,Aiorios,Sagitario,Oro,100,2383.000000
10,Shura,Capricorni,Oro,100,8127.000000
11,Facu,Piscis,Plata,50,4000.000000
12,Caidev,Aries,Plata,50,4100.000000
13,Cata,Aries,Bronce,40,5970.000000
14,Hache,Aries,Bronce,35,4975.000000
