ID,NAME,COSMOS,ARMADURA,LEVEL,POWER_LV
1,Mu,Aries,Oro,100,9999.000000
2,Aldebaran,Tauro,Oro,16,3482.000000
3,Saga,Geminis,Oro,84,4355.000000
4,Deathmask,Cancer,Oro,12,2934.000000
5,Aioria,Leo,Oro,12,4737.000000
6,Shaka,Virgo,Oro,66,3834.000000
7,Dohko,Libra,Oro,28,9974.000000
8,Milo,Escorpio,Oro,94,3125.000000
9,Aiorios,Sagitario,Oro,73,2383.000000
10,Shura,Capricorni,Oro,14,8127.000000
11,Camus,Acuario,Oro,99,2771.000000
12,Albafica,Piscis,Oro,100,9999.000000
13,Seiya,Pegaso,Bronce,52,6506.000000
14,Ikki,Fenix,Bronce,55,2084.000000
15,Hyoga,Cisne,Bronce,2,6284.000000
16,Shun,Andromeda,Bronce,3,3382.000000
17,Shiryu,Dragon,Bronce,76,3663.000000
18,June,Camaleon,Bronce,21,7423.000000
19,Nachi,Lobo,Bronce,6,6146.000000
20,Ichi,Hidra,Bronce,32,2317.000000
22,Geki,OsaMayor,Bronce,20,1500.000000
23,Ban,LeoMenor,Bronce,20,1450.000000
24,Jabu,Unicornio,Bronce,23,1600.000000
25,Kyoko,CaballoMen,Bronce,21,1500.000000
26,Mii,Delfin,Bronce,32,1800.000000
27,Shoo,CaballoMen,Bronce,32,1800.000000
28,Xiaoling,OsaMenor,Bronce,33,1850.000000
29,Katya,CoronaBore,Bronce,34,1900.000000
30,Erda,Cassiopea,Bronce,30,1750.000000
31,Rebecca,Cassiopea,Bronce,31,1700.000000
32,Shaun,Andromeda,Bronce,36,1700.000000
33,Kooga,Pegaso,Bronce,35,1792.000000
34,Sooma,LeonMenor,Bronce,34,1690.000000
35,Yuna,Aguila,Bronce,33,1750.000000
36,Ryuuhoo,Dragon,Bronce,36,1950.000000
37,Haruto,Lobo,Bronce,36,1940.000000
38,Eden,Orion,Bronce,34,1790.000000
39,Kitalpha,CaballoMen,Bronce,34,1880.000000
40,Spear,Dorado,Bronce,31,1790.000000
41,Yoshitomi,Lobo,Bronce,32,1790.000000
42,Mirapolos,Lince,Bronce,33,1810.000000
43,Argo,PezVolador,Bronce,38,1999.000000
44,Komachi,Grulla,Bronce,36,1899.000000
